Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right,class
0.01,0,0,3.85,0,0,0,0,0,83.38,71.28,76.78,267.41,70.18,201.63,206.47,181.72,3.85,1158.85,0
0.02,0,0,3.85,0,0,0,0,0,73.81,64.9,65.89,274.67,70.18,206.36,211.42,186.78,3.85,1154.01,0
0.03,0,0,3.85,0,0,0,0,0,64.35,56.43,57.2,282.15,70.18,211.09,218.68,191.73,3.85,1151.81,0
0.04,0,0,3.85,0,0,0,0,0,57.2,50.16,51.26,287.32,70.18,213.4,223.52,199.32,3.85,1152.36,0
0.05,0,0,3.85,0,0,0,0,0,47.96,43.89,43.67,292.49,67.65,218.13,228.36,204.27,3.85,1146.42,0
0.06,0,0,3.85,0,0,0,0,0,41.14,37.62,37.95,297.55,67.65,220.55,233.2,209.33,3.85,1144.99,0
0.07,0,0,3.85,0,0,0,0,0,36.52,33.44,30.36,302.72,65.12,225.39,237.93,214.39,3.85,1145.87,0
0.08,0,0,3.85,0,0,0,0,0,32.01,29.26,26.51,305.36,65.12,227.81,242.77,219.34,3.85,1148.18,0
0.09,0,0,0,0,0,0,0,0,29.7,25.08,22.77,307.89,62.59,230.34,247.61,221.87,0,1147.85,0
0.1,4.07,0,3.85,0,0,0,0,0,25.08,20.9,20.9,307.89,60.06,235.18,249.92,226.93,7.92,1146.86,0
0.11,6.16,0,3.85,0,0,0,0,0,22.88,18.81,17.05,305.36,55.11,237.6,252.34,231.55,10.01,1140.7,0
0.12,14.41,0,3.85,0,0,0,0,0,20.57,16.72,17.05,302.72,52.91,240.13,254.76,233.86,18.26,1138.72,0
0.13,18.59,3.74,5.83,0,0,0,0,0,20.57,14.63,15.18,297.55,50.82,240.13,257.18,236.28,28.16,1132.34,0
0.14,33.11,3.74,5.83,0,0,0,0,0,20.57,14.63,13.2,292.49,46.53,242.55,259.6,240.9,42.68,1130.47,0
0.15,70.95,20.68,11.77,0,0,0,0,0,18.26,12.54,13.2,284.79,44.44,242.55,259.6,243.32,103.4,1118.7,0
0.16,146.19,48.95,37.29,0,0,0,0,0,18.26,12.54,13.2,277.09,40.26,244.97,259.6,245.63,232.43,1111.55,0
0.17,202.51,78.32,61.71,0,0,0,0,0,15.95,12.54,11.33,267.41,38.06,247.39,262.02,250.36,342.54,1105.06,0
0.18,228.8,100.21,86.24,0,0,0,0,0,15.95,12.54,11.33,257.73,33.88,247.39,259.6,252.67,415.25,1091.09,0
0.19,242.99,116.82,106.37,0,0,0,0,0,15.95,10.45,11.33,245.63,29.59,247.39,257.18,254.98,466.18,1072.5,0
0.2,240.9,127.82,115.28,0,0,0,0,0,15.95,10.45,11.33,231.11,23.21,247.39,252.34,254.98,484,1046.76,0
0.21,220.77,123.42,113.08,6.27,0,0,0,0,13.64,10.45,11.33,210.32,19.03,244.97,245.19,257.4,463.54,1012.33,0
0.22,190.3,112.42,101.86,14.63,0,0,0,0,15.95,10.45,11.33,186.45,14.74,244.97,237.93,259.71,419.21,981.53,0
0.23,158.07,98.23,90.75,29.26,0,10.56,4.51,4.51,13.64,10.45,9.46,165.33,10.56,244.97,228.36,262.02,395.89,944.79,0
0.24,134.2,86.35,81.84,33.44,4.29,31.79,36.08,13.53,13.64,10.45,9.46,147.84,8.47,244.97,216.26,266.75,421.52,917.84,0
0.25,116.38,76.34,75.13,33.44,10.78,40.26,70.4,20.24,13.64,10.45,9.46,132.88,4.18,244.97,204.05,269.06,442.97,888.69,0
0.26,101.42,68.42,72.93,31.35,17.27,44.44,113.08,27.06,13.64,10.45,9.46,118.03,4.18,244.97,187,271.48,475.97,859.21,0
0.27,92.73,64.46,70.62,31.35,19.47,48.73,151.58,38.28,13.64,10.45,9.46,102.96,0,244.97,169.95,273.79,517.22,825.22,0
0.28,88.44,60.5,72.93,29.26,21.67,52.91,186.12,51.81,13.64,8.36,9.46,90.53,0,242.55,153.56,276.1,563.64,794.2,0
0.29,88.44,60.5,79.53,29.26,23.87,55.11,216.37,62.92,11.44,10.45,9.46,75.46,0,240.13,139.59,278.52,616,765.05,0
0.3,92.73,62.48,88.55,27.17,28.16,57.42,241.78,71.61,11.44,8.36,9.46,57.97,0,230.34,127.93,280.94,669.9,726.44,0
0.31,99.33,68.42,99.66,29.26,30.36,59.73,264.66,78.21,11.44,8.36,9.46,42.79,0,218.13,120.89,283.47,729.63,694.54,0
0.32,105.82,70.4,108.57,29.26,32.56,62.15,283.03,84.7,9.13,8.36,7.59,27.72,0,201.63,116.27,280.94,776.49,651.64,0
0.33,105.82,72.38,113.08,31.35,36.85,64.46,301.18,89.1,9.13,8.36,7.59,17.6,4.18,173.36,111.65,278.52,814.22,610.39,0
